dataset,method,auc,pr,runtime,seed,shuffled
celeba,HST,0.717923176,0.062814951,315.5010529,9,FALSE
celeba,HST,0.737890497,0.072028494,326.3593302,0,FALSE
celeba,HST,0.769121348,0.079834592,328.1373637,2,FALSE
celeba,HST,0.758272708,0.074761914,332.8952267,4,FALSE
celeba,HST,0.724168496,0.06755852,328.8561847,8,FALSE
celeba,HST,0.741833422,0.079850584,324.9504049,3,FALSE
celeba,HST,0.768390808,0.082305887,327.960007,1,FALSE
census,HST,0.60360649,0.074028622,388.5931058,7,FALSE
census,HST,0.598522289,0.071900304,391.2019188,6,FALSE
census,HST,0.594090945,0.07168074,385.5056477,1,FALSE
census,HST,0.585174103,0.070372499,387.0724154,4,FALSE
census,HST,0.537538423,0.062157931,390.8235242,5,FALSE
census,HST,0.584162618,0.069531954,388.1319795,2,FALSE
census,HST,0.631517423,0.080838828,386.2204378,0,FALSE
census,HST,0.641394246,0.08175415,384.1492102,3,FALSE
census,HST,0.621087671,0.074881349,389.7200437,9,FALSE
census,HST,0.613001833,0.075054554,384.5159481,8,FALSE
cover,HST,0.477179,0.01527789,456.8601663,7,FALSE
cover,HST,0.462922285,0.015488498,456.3952591,1,FALSE
cover,HST,0.484824412,0.014822829,458.2589195,8,FALSE
cover,HST,0.476587707,0.014381318,455.7440441,3,FALSE
cover,HST,0.46220924,0.012486181,456.5590858,5,FALSE
cover,HST,0.417674544,0.011022424,455.9347961,6,FALSE
cover,HST,0.46719664,0.012744681,451.9931309,0,FALSE
cover,HST,0.448194058,0.014621291,455.6394351,4,FALSE
cover,HST,0.450245953,0.014533707,459.0199981,9,FALSE
cover,HST,0.481788688,0.016752565,446.9291687,2,FALSE
donors,HST,0.734041834,0.096422985,746.2352159,8,FALSE
donors,HST,0.713047028,0.08876857,743.9937012,3,FALSE
donors,HST,0.731773626,0.095226545,754.983017,5,FALSE
donors,HST,0.729444077,0.096828518,749.7870393,2,FALSE
donors,HST,0.748579411,0.100729556,746.6237104,1,FALSE
donors,HST,0.717456721,0.090152483,738.7684329,0,FALSE
donors,HST,0.722867715,0.092230265,732.4050882,6,FALSE
donors,HST,0.751246703,0.101468548,756.729064,7,FALSE
donors,HST,0.772334211,0.113605234,736.1269071,9,FALSE
donors,HST,0.758881282,0.10373875,757.8043323,4,FALSE
fraud,HST,0.908617746,0.194089967,326.8236711,7,FALSE
fraud,HST,0.91641471,0.238708961,328.4152122,4,FALSE
fraud,HST,0.919787007,0.249712966,328.391037,2,FALSE
fraud,HST,0.913409172,0.231451254,331.8612926,3,FALSE
fraud,HST,0.916981866,0.257736488,330.874316,6,FALSE
fraud,HST,0.916204884,0.238716566,330.2214701,0,FALSE
